file,gain,bias,comp,df,viol_rate,step_score,res_slope,ripple_var,switch_step_err_max,switch_step_err_ratio,nonswitch_step_max,nonswitch_step_ratio,sys_幅度失准,sys_频率失准,sys_参考电平失准,mod_衰减器,mod_前置放大器,mod_低频段前置低通滤波器,mod_低频段第一混频器,mod_高频段YTF滤波器,mod_高频段混频器,mod_时钟振荡器,mod_时钟合成与同步网络,mod_本振源（谐波发生器）,mod_本振混频组件,mod_校准源,mod_存储器,mod_校准信号开关,mod_中频放大器,mod_ADC,mod_数字RBW,mod_数字放大器,mod_数字检波器,mod_VBW滤波器,mod_电源模块,mod_未定义/其他,flag_bias,flag_gain,flag_comp,flag_df,flag_viol_rate,flag_step_score,flag_res_slope,flag_ripple_var,flag_switch_step_err_max,flag_switch_step_err_ratio,flag_nonswitch_step_max,flag_nonswitch_step_ratio
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_032.csv,0.9167089076835265,0.9212553599441982,-0.006262985415806721,0.0,0.4312,0.0,2.0303105803242024e-11,0.246979219091424,0.8532764222678179,1.0,1.2039569041722764,0.37777777777777777,0.21999999978,0.41999999958,0.35999999964,0.07115531739816561,0.020198928809801852,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095355,0.006610558519571514,0.01762815605219071,0.012624330506126158,0.01782708491183188,0.04590665643181995,0.010099464404900926,0.053557765837123274,0.03825554702651662,0.09181331286363992,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_033.csv,0.9337024966053431,0.07005312713133237,-0.0064169348674673055,0.0,0.1168,0.0,1.7808271282239578e-11,0.20510044484329357,0.6025395646613507,1.0,1.3262700759601773,0.4222222222222222,0.21999999978,0.41999999958000006,0.35999999964,0.07115531739816562,0.020198928809801852,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095355,0.006610558519571516,0.01762815605219071,0.012624330506126158,0.017827084911831884,0.04590665643181996,0.010099464404900926,0.053557765837123274,0.03825554702651663,0.09181331286363992,0.11048201980156244,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_034.csv,0.9902486136691989,0.12273535502457873,-0.005179642576489452,0.0,0.1325,0.0,2.7634708325480187e-11,0.2271328046962578,1.2155484113996007,0.5,1.3131457078122442,0.35555555555555557,0.21999999978,0.41999999958,0.35999999963999996,0.07115531739816562,0.020198928809801855,0.11476664107954988,0.07651109405303327,0.11476664107954988,0.07651109405303327,0.03936495785092065,0.03936495785092065,0.016870696221823134,0.016870696221823134,0.008814078026095355,0.006610558519571515,0.01762815605219071,0.012624330506126158,0.017827084911831888,0.045906656431819966,0.010099464404900928,0.05355776583712329,0.03825554702651664,0.09181331286363993,0.11048201980156246,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_035.csv,0.9353870010750345,-1.156400704576323,-0.006378321336167558,0.0,0.6362,0.0,1.7282566777108206e-11,0.08403435754385509,1.0115240494490738,0.5,1.3672438909106401,0.35555555555555557,0.21999999978,0.41999999958,0.3599999996399999,0.07115531739816558,0.020198928809801855,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.00881407802609535,0.006610558519571512,0.0176281560521907,0.012624330506126158,0.01782708491183188,0.04590665643181995,0.010099464404900928,0.053557765837123274,0.03825554702651662,0.0918133128636399,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_036.csv,0.9542842766300189,1.6503760105312786,-0.005203567580735369,0.0,0.7664,0.0,2.2317387850210627e-11,0.31833548887171065,0.9011555573327286,1.0,1.477705043520788,0.37777777777777777,0.21999999978,0.41999999957999995,0.35999999964000007,0.07115531739816561,0.02019892880980185,0.11476664107954987,0.07651109405303325,0.11476664107954987,0.07651109405303325,0.03936495785092063,0.03936495785092063,0.01687069622182313,0.01687069622182313,0.008814078026095355,0.006610558519571515,0.01762815605219071,0.012624330506126156,0.017827084911831884,0.04590665643181995,0.010099464404900924,0.053557765837123274,0.03825554702651662,0.0918133128636399,0.11048201980156241,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_037.csv,0.9450364121917754,0.7392765848476264,-0.0053824759939320455,0.0,0.4126,0.0,2.4137187679920015e-11,0.36374157211102387,0.7021189606545938,1.0,1.4042303850887434,0.4,0.21999999978,0.41999999957999995,0.35999999964000007,0.07115531739816565,0.020198928809801855,0.1147666410795499,0.07651109405303327,0.1147666410795499,0.07651109405303327,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095356,0.006610558519571517,0.017628156052190713,0.012624330506126158,0.017827084911831888,0.04590665643181995,0.010099464404900928,0.05355776583712328,0.03825554702651663,0.09181331286363992,0.11048201980156244,warn,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_038.csv,0.9756720897208296,-2.7743222411142594,-0.004658063946851865,0.0,0.9503,0.0,2.8280714535702308e-11,0.45302490334312295,1.1653232025333415,1.0,1.4575655680313622,0.4666666666666667,0.21999999978,0.41999999957999995,0.35999999964000007,0.0711553173981656,0.020198928809801845,0.11476664107954984,0.07651109405303323,0.11476664107954984,0.07651109405303323,0.039364957850920625,0.039364957850920625,0.016870696221823127,0.016870696221823127,0.008814078026095353,0.006610558519571514,0.017628156052190706,0.012624330506126153,0.017827084911831877,0.04590665643181993,0.010099464404900923,0.05355776583712326,0.038255547026516616,0.09181331286363986,0.11048201980156239,alarm,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_039.csv,0.9766008215296811,0.05630048041480538,-0.006053027462759097,0.0,0.1038,0.0,2.296801070767653e-11,0.1131623430773599,0.6068404788089687,1.0,1.358253763730583,0.4,0.21999999978,0.41999999958,0.35999999964000007,0.07115531739816564,0.020198928809801852,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095356,0.006610558519571517,0.017628156052190713,0.012624330506126158,0.017827084911831884,0.04590665643181995,0.010099464404900926,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.11048201980156241,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_040.csv,0.9408818620027107,0.1716345530173255,-0.005450247411434683,0.0,0.1444,0.0,2.3837273178432046e-11,0.32048149779778706,1.0827957830174597,0.5,1.314571081099185,0.4666666666666667,0.21999999977999998,0.41999999958,0.35999999963999996,0.0711553173981656,0.020198928809801845,0.11476664107954987,0.07651109405303326,0.11476664107954987,0.07651109405303326,0.03936495785092065,0.03936495785092065,0.016870696221823137,0.016870696221823137,0.008814078026095353,0.006610558519571513,0.017628156052190706,0.012624330506126153,0.017827084911831884,0.04590665643181996,0.010099464404900923,0.05355776583712328,0.03825554702651663,0.0918133128636399,0.11048201980156243,ok,alarm,ok,ok,warn,ok,ok,alarm,alarm,alarm,alarm,alarm
D:\PycharmProjects\FMFD\FMFD\to_detect\fault_041.csv,0.9769797689857103,-0.6644541026589263,-0.006042785171967269,0.0,0.3721,0.0,2.2964230054256715e-11,0.1140581962705277,0.5992235135402031,1.0,1.3588536079369202,0.4,0.21999999978,0.41999999958,0.35999999964,0.07115531739816562,0.020198928809801852,0.11476664107954988,0.07651109405303326,0.11476664107954988,0.07651109405303326,0.039364957850920645,0.039364957850920645,0.016870696221823134,0.016870696221823134,0.008814078026095353,0.006610558519571515,0.017628156052190706,0.012624330506126156,0.017827084911831884,0.045906656431819945,0.010099464404900926,0.05355776583712327,0.03825554702651662,0.09181331286363989,0.11048201980156241,warn,alarm,ok,ok,alarm,ok,ok,alarm,warn,alarm,alarm,alarm
