,file,gain,bias,comp,df,viol_rate,step_score,res_slope,ripple_var,switch_step_err_max,switch_step_err_ratio,nonswitch_step_max,nonswitch_step_ratio,sys_幅度失准,sys_频率失准,sys_参考电平失准,mod_衰减器,mod_前置放大器,mod_低频段前置低通滤波器,mod_低频段第一混频器,mod_高频段YTF滤波器,mod_高频段混频器,mod_时钟振荡器,mod_时钟合成与同步网络,mod_本振源（谐波发生器）,mod_本振混频组件,mod_校准源,mod_存储器,mod_校准信号开关,mod_中频放大器,mod_ADC,mod_数字RBW,mod_数字放大器,mod_数字检波器,mod_VBW滤波器,mod_电源模块,mod_未定义/其他,flag_bias,flag_gain,flag_comp,flag_df,flag_viol_rate,flag_step_score,flag_res_slope,flag_ripple_var,flag_switch_step_err_max,flag_switch_step_err_ratio,flag_nonswitch_step_max,flag_nonswitch_step_ratio
count,323,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323,323,323,323,323,323,323,323,323,323,323,323
unique,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,2,1,1,1,2,1,1,1
top,D:\PycharmProjects\FMFD\FMFD\to_detect\fault_002.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,alarm,ok,ok,alarm,ok,ok,alarm,alarm,alarm,alarm,alarm
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,323,323,323,163,323,323,323,293,323,323,323
mean,,0.9467277741963964,-0.330519602861356,-0.005925610312694035,0.0,0.3796578947368421,0.0,2.104729624093686e-11,0.20142121329521367,0.914458442198559,0.8235294117647058,1.3374956364474957,0.39050567595459235,0.0,0.0,0.0,0.0,0.0,0.1578947366842105,0.10526315778947361,0.1578947366842105,0.10526315778947361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631557894694,0.06315789467368418,0.0,0.07368421045263152,0.0526315788947368,0.12631578934736837,0.13684210512631573,,,,,,,,,,,,
std,,0.04236175618850912,1.3787123429785209,0.0007367044343058647,0.0,0.3451389800512738,0.0,4.423094839350189e-12,0.10764201780824129,0.2375986654138698,0.2393130468250923,0.13112260617222563,0.04179545768653307,0.0,0.0,0.0,0.0,0.0,2.6968643008250973e-17,4.3440217271161923e-17,2.6968643008250973e-17,4.3440217271161923e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.949660231412123e-18,1.7854837891623326e-17,0.0,2.2051471724429166e-17,0.0,2.818326761284689e-17,5.4357037763592227e-17,,,,,,,,,,,,
min,,0.8116469288264934,-3.918395775521242,-0.0075515320375108,0.0,0.1038,0.0,1.0625250109096414e-11,0.0593620935783397,0.405723199224606,0.5,0.9277983247255628,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.1578947366842104,0.1052631577894736,0.1578947366842104,0.1052631577894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210526315578947,0.0631578946736841,0.0,0.0736842104526315,0.0526315788947368,0.1263157893473683,0.1368421051263157,,,,,,,,,,,,
25%,,0.9277111128341302,-0.4495254633485394,-0.0064539069112616,0.0,0.10565,0.0,1.8304116827729985e-11,0.11478904981194775,0.7117907202509162,0.5,1.2616515626906906,0.3555555555555555,0.0,0.0,0.0,0.0,0.0,0.1578947366842105,0.1052631577894736,0.1578947366842105,0.1052631577894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210526315578947,0.0631578946736842,0.0,0.0736842104526315,0.0526315788947368,0.1263157893473684,0.1368421051263157,,,,,,,,,,,,
50%,,0.9515999413072872,0.079102473416684,-0.0060083780743985,0.0,0.152,0.0,2.0442715009551044e-11,0.1656434153329037,0.9084200548473268,1.0,1.326270075960177,0.3777777777777777,0.0,0.0,0.0,0.0,0.0,0.1578947366842105,0.1052631577894736,0.1578947366842105,0.1052631577894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210526315578947,0.0631578946736842,0.0,0.0736842104526315,0.0526315788947368,0.1263157893473684,0.1368421051263157,,,,,,,,,,,,
75%,,0.9792630459636003,0.1400058195124217,-0.005385732783776451,0.0,0.71305,0.0,2.3868303134258128e-11,0.2630804481336012,1.0897475096416218,1.0,1.4372116907802024,0.4222222222222222,0.0,0.0,0.0,0.0,0.0,0.1578947366842105,0.1052631577894736,0.1578947366842105,0.1052631577894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210526315578947,0.0631578946736842,0.0,0.0736842104526315,0.0526315788947368,0.1263157893473684,0.1368421051263158,,,,,,,,,,,,
max,,1.0222584492834004,2.5811835926495124,-0.0036378514988426,0.0,0.9999,0.0,3.1938061341425105e-11,0.4642197398863328,1.6115288639045833,1.0,1.679020089727476,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.1578947366842105,0.1052631577894737,0.1578947366842105,0.1052631577894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210526315578947,0.0631578946736842,0.0,0.0736842104526316,0.0526315788947368,0.1263157893473684,0.1368421051263158,,,,,,,,,,,,
